Precentral_L,Precentral_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_L,Postcentral_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R
0.0058016647,-0.014254105,-0.0110240625,-0.022248203,0.030598814,0.057981424,0.050105773,0.032457452,-0.048653014,0.004114286,-0.046575062,0.059004016,-0.03926292,-0.026044784,-0.06615117,-0.022544008,-0.04401403,0.01535485,-0.022271227,-0.005278575,-0.041276727,-0.063670404,-0.062490437,0.04772743,-0.005043353,0.0653001
0.58988714,0.68359846,0.610611,0.03215928,0.36481687,0.5902811,0.6460568,0.76583177,0.57880265,1.0082048,0.73030394,1.7279816,-0.13893756,1.5525979,0.2603099,0.90392184,0.23090902,0.98625636,0.5451967,0.98288924,0.09010721,0.41934592,0.2564012,0.7468361,-0.037847348,0.68952775
0.09272606,0.20359479,0.4705643,0.47237253,0.062883504,-0.101398885,0.13618079,0.20372579,-0.25919813,-0.37894776,-0.19127108,-0.41219953,0.26029804,-0.6202658,0.42716265,-0.19107051,0.50057125,0.16756088,-0.44664493,-0.48249158,-0.57463527,-0.5926128,-0.19875479,0.19588858,-0.40892792,0.24868655
-0.26680273,0.13387737,0.2000563,0.43879247,-0.41470474,-0.2624191,-0.032158602,-1.2025808,0.17182982,-1.1650841,0.07746672,-1.7814223,-0.23381463,-1.8110666,0.6084509,-0.59534264,1.6724333,-0.46353647,-0.13558194,-0.8963584,0.46243858,-0.018381523,1.1059393,-0.22910091,-0.35756063,-0.04814492
-1.1939323,0.27090275,-1.0876563,-0.25546467,-1.5719528,-0.11103665,-0.37309763,-1.9867193,1.6696303,0.21861213,1.2552558,0.24730276,-0.8944012,0.62333375,0.23419362,0.86540645,2.1218963,-0.41446677,0.98661244,0.36013716,1.8016795,1.8059233,2.6587226,-0.43868345,-0.21388398,0.45953882
-3.5086324,-1.01693,-3.5480435,-0.7101283,-3.316633,-1.5948122,-2.2802877,-1.3717175,0.7607397,0.5225,-0.19746453,0.4660151,0.35609812,1.4244754,-0.94738835,1.1980811,0.0026608757,-1.7950528,-0.746099,-0.64516044,-0.39611554,0.37506005,0.15462366,-2.009629,-1.1744537,0.4407287
-4.001672,-1.7909054,-3.7821307,-0.8233213,-3.4313467,-3.1060374,-3.194917,-0.03877684,-1.0466439,-1.1890103,-2.1360629,-2.8390965,1.5864537,-1.3559217,-1.643715,-0.26255172,-1.8874874,-3.660017,-3.1752324,-2.9150019,-3.2184105,-2.9616263,-3.2174263,-3.6465087,-2.443882,-0.43430027
-1.544058,-0.24433447,-1.0058441,-0.99350613,-1.9213302,-2.400662,-1.256951,0.34742245,-0.04165361,-1.7725033,-0.6062086,-4.0468693,0.32512844,-2.686419,-1.1588902,-0.8854473,-0.7489482,-3.2802994,-2.1729226,-2.5591266,-1.9512472,-2.8257346,-1.4463599,-2.8322396,-2.3626065,-0.80529
-0.13480943,0.6815023,0.6896217,-0.9013318,-1.2733518,-0.8129233,0.51707673,-0.8895322,2.1769466,-0.25833252,1.878579,-1.1863786,-0.49718755,-0.6241408,-0.26400888,0.077282734,1.2412388,-1.3621407,0.30808568,-0.75062776,0.9091951,0.1520834,2.5704324,-0.6070371,-1.3426559,-0.31504643
-0.6335731,-0.7145841,0.16447061,-0.25822356,-0.98593724,0.3353039,0.5027507,-1.9844304,2.5762513,1.1920782,2.0176208,1.3279066,1.6780845,1.2266037,0.790403,1.2528229,1.7352763,0.026950795,1.2523394,0.063406035,1.4679272,1.6658423,2.666013,0.5595095,-0.59648454,0.20014556
