subject,n_motor_rois,time_min
sub-00,26,3.949808744589488
sub-01,26,7.059129440784455
sub-11,26,10.735504508018494
sub-12,26,10.14006293217341
sub-13,26,11.02039046684901
sub-15,26,32.30060474872589
sub-16,26,10.790941468874614
sub-17,26,11.080520888169607
sub-18,26,33.06601700782776
sub-20,26,11.182813922564188
sub-21,26,11.128539665540059
sub-22,26,11.866188629468281
sub-23,26,11.095404668649037
sub-24,26,11.491878437995911
sub-25,26,11.788891569773357
sub-26,26,11.237848536173503
sub-27,26,11.49295414686203
sub-28,26,11.201013962427774
sub-29,26,11.124626314640045
sub-30,26,11.040410168965657
sub-33,26,11.012388547261557
sub-34,26,10.865698647499084
sub-35,26,5.895263040065766
