Precentral_L,Precentral_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_L,Postcentral_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R
0.057767987,0.03239326,0.011244559,0.081501536,0.05866864,0.06546764,0.015009887,0.0350215,0.0024983308,0.0511551,-0.030872982,0.08697668,-0.025870433,0.06498133,-0.034658656,0.01070262,0.00046102834,0.021835528,-0.0063606706,0.0019189926,-0.099054754,0.0573306,0.03673101,0.02936446,0.027606025,0.11755019
-0.68418086,-0.8972452,0.006420773,1.831171,-1.2732512,-1.6658072,-0.7323757,0.4839585,0.20674728,0.89319134,0.6130574,-0.34091273,0.39318067,-0.6881096,0.6291977,-0.4003051,-0.114945,0.17216416,0.011521993,-0.17471734,-0.499961,-1.1667385,-1.2035054,-0.66499794,-1.9609032,-1.5064316
-0.7738356,-1.062124,0.34448627,0.86214083,-1.8365798,-1.8507614,-0.4065418,-0.24886905,0.1893869,0.5296081,0.8497311,-1.8917178,0.6385905,-2.1313035,-0.0068129194,-0.3588194,-0.42060488,0.65868604,1.0405511,0.23239702,0.8496908,-1.6881373,-0.35614014,-0.531305,-1.990159,-1.9518591
0.23711926,-0.18059678,1.0734104,-0.98359764,-1.1277542,-0.9739828,0.84310526,-0.7586805,0.15335658,-0.3345663,0.5748844,-2.6662388,0.5552475,-2.176562,-0.46772823,0.003824361,-0.27389058,1.2903045,2.0875304,1.1998475,2.1556296,-1.0051912,0.9394857,-0.16523659,-0.7349926,-1.7380549
1.2326993,1.1078728,1.1101662,-1.3937929,0.16038628,-0.61237407,1.3940027,0.12077631,0.48270276,-0.4857048,0.36874166,-1.0351493,0.46534833,0.15785399,0.4400954,0.30344242,0.634906,1.2600853,1.862757,1.6757984,1.6978503,0.2258803,0.69123507,-0.29094732,0.07466698,-1.5033202
0.6544731,1.2711545,-0.09419524,-1.1452069,0.60983604,-0.7416191,0.34959558,0.77583194,1.096063,-0.07058634,0.76193404,0.6654038,0.574128,1.7923541,0.9295997,0.15295322,1.2749597,0.16473638,0.9707361,0.71307606,0.7976981,0.41914368,-0.193681,-0.5563357,0.1545304,-1.1115859
-0.5424856,-0.354374,-0.69941545,-0.8229821,0.12329753,0.040505204,-0.5905565,-0.14335188,1.3185395,0.104440056,1.2016363,-0.25112295,0.3241492,0.42025456,-0.2608686,-0.38952693,0.6716293,-0.9376155,0.65193474,-0.6708106,0.73067486,-0.69731086,-0.516433,-0.5821326,0.07735724,-0.8419617
-0.13176589,-2.0322146,0.5727526,0.38301975,-0.022866528,1.3421845,0.2913052,-1.0907165,0.53646976,-0.28922534,0.7436874,-1.8652731,-0.39418182,-1.4790572,-1.1651766,-0.49363482,-0.6170929,-0.8378944,0.52448267,-0.63354254,0.76792276,-1.3486564,-0.7984176,-0.784922,-0.34863922,-1.0466375
1.4264776,-1.9541426,1.57626,1.4884505,0.60547125,1.1087185,1.572695,-0.61347693,-0.99488246,-1.1958138,-0.4916552,-0.99151534,-0.6399696,-1.0976677,-0.4530158,-0.022937777,-1.5057979,-0.40024254,-0.52761763,0.22216801,0.34641162,-0.50197023,-1.2415309,-1.3076569,-1.4236223,-1.1072308
1.7866317,-0.88767314,0.4696549,0.8698272,1.2336751,-0.40171748,1.204581,0.08029191,-1.9543563,-1.8888156,-1.2968384,0.94565535,-0.11204493,0.25670296,0.057729423,-0.054962657,-1.6535507,-1.1078416,-1.8655009,-0.21521738,-0.070449956,0.41224235,-1.0576363,-1.1721038,-1.9565316,-0.53694695
0.6616593,-0.022124331,-0.6229385,-0.21994951,1.3331515,-0.6379912,0.19815344,-0.31662428,-1.092094,-1.0763314,-0.7076259,0.5526302,0.23564354,0.3410427,-0.6921083,-0.3380275,-0.95933247,-1.8056778,-1.6435626,-1.3102083,-0.15289861,0.15600732,-0.27775034,0.37278017,-0.422154,0.04641336
-0.451605,1.0545393,0.39731282,-0.096723735,0.60556626,0.4891947,0.26108915,-1.194523,0.91513985,1.0255696,0.76940906,-1.4452676,-0.27247366,-0.36616147,-1.1189429,0.56088936,0.35745594,-0.4522379,0.16738485,-0.66882354,0.04318392,-0.26496848,0.2942634,2.0960333,1.8399785,0.08073862
-1.1602643,1.9634359,1.4435256,0.24268977,-1.1766028,0.21831886,0.3858655,-1.9298373,1.8602519,2.2641497,1.5986351,-2.0033734,-1.2716957,-0.62965083,-0.6326928,1.5267653,0.8932905,1.6302813,1.5613695,0.9744013,0.14715686,-0.034521844,0.4224191,1.9737992,1.4096768,-0.21858664
-1.9046341,1.2399036,0.07585833,-0.029076036,-2.9736178,-1.9094489,-0.7877228,-2.632835,1.2354912,1.8034676,1.3736602,-1.220647,-1.6996179,-0.5333095,-0.39106554,0.46978906,-0.048440292,1.6982148,1.6514759,1.0482676,-0.15460962,-0.23719458,0.25833943,0.30007556,-1.5571691,-0.59444267
-2.37621,-0.3031353,-2.0512407,0.0024526445,-3.234935,-2.8368905,-2.1520112,-2.542488,1.0975376,1.3417364,1.4287983,-0.972939,-0.5897876,-0.112230964,-0.07011305,-0.65694016,-0.3368642,0.5738032,1.6686254,0.29931742,-0.045777302,-1.2171615,0.1153318,-0.36906222,-2.3320956,-0.79283714
-2.1564443,-0.5504267,-2.1785047,0.045159712,-2.2569432,-0.8912762,-2.1510298,-0.8986105,2.2382488,1.7414402,2.2580082,-0.6372461,1.2216274,0.9318181,1.3277992,0.9348398,1.5988073,0.81937563,2.1895893,1.0187618,1.295368,-1.3036228,0.6758401,0.9796619,0.8675156,-0.3042472
-1.4461805,0.05626294,-0.6403174,-0.7794849,-1.2913847,1.7045085,-0.8191119,0.8979596,2.4371552,1.5495791,2.283723,0.979766,1.4562687,1.6671691,2.3658993,2.6614134,3.114766,1.6342567,1.8711967,1.9660562,2.3950868,0.039570004,1.6817291,2.2455478,3.3676019,0.57470495
-0.46749917,0.018082408,0.5509828,-1.0097098,-0.24807607,2.2088933,0.9510199,1.2222557,0.576595,0.098993205,0.71815544,2.1420958,0.08389479,1.0587445,1.4375837,0.98762405,1.571095,0.6313847,0.061811347,0.79630274,1.4154578,0.99181056,1.5539285,1.5057207,1.7666949,0.6514093
0.4143328,-0.16003187,0.5037555,0.26526183,0.9823364,0.74762774,1.7794524,1.1846486,-1.0732852,-1.0581595,-0.78242445,1.0986037,-0.33514062,0.100664064,0.09423959,-1.5719254,-0.7443121,-1.1898559,-1.5994245,-0.9873089,-0.4217713,0.6375611,0.07782738,-0.21463071,-0.70859987,0.018851606
0.3261716,0.04338989,-0.55231804,0.5741064,0.9939801,-0.49066564,0.5403979,2.1077354,-0.97363037,-0.97562987,-0.9572886,-0.46508473,0.6271947,-0.04774503,0.06747894,-1.2255598,-0.77022,-1.204774,-1.6165694,-0.9294247,-0.90483856,0.19539498,-0.99121976,-0.88548857,-0.604818,0.23856091
-0.8597158,-0.3144647,-1.7867068,-1.1736637,-0.60065436,-0.22788481,-1.5519446,2.159672,-0.8732273,-0.8111826,-0.9042383,-0.557663,0.6890211,-0.32977554,0.034288794,0.059374582,0.02113261,-0.10245914,-0.8409909,-0.36224288,-0.63204545,0.21902391,-1.1707658,-0.5202437,0.263759,1.4382461
-1.7327868,-0.91511065,-2.0393744,-1.9720955,-1.6434773,0.3788829,-2.0467744,-0.01789872,-2.0412536,-1.4260087,-1.7223938,0.05019339,-0.26437956,-1.4177326,-1.0991868,-0.9498377,-0.71645486,-0.3755291,-0.8797165,-1.309547,-1.2763261,-0.16183414,-1.5466212,-0.63371235,-0.4548801,1.9131153
-1.1319178,-0.24312206,-1.0602887,-0.52257246,-0.6406456,-0.28804177,-1.0122722,-1.2415222,-2.7703257,-1.8474704,-2.503563,0.39058858,-0.06443544,-1.7651997,-1.4708078,-2.363538,-1.455904,-1.4885874,-1.660092,-2.1440158,-2.1242137,-0.815476,-1.706955,-1.520738,-1.3012506,1.0441015
0.30320087,0.90301085,0.15709342,0.2982215,1.1295327,-1.2288694,-0.35445935,1.1828762,-1.7709643,-1.2969033,-2.0897584,0.8783189,1.0395615,-0.58896625,-0.0664312,-1.3537548,-0.39381057,-1.1428261,-1.8226174,-0.9358937,-1.5243671,-0.5309697,-0.5512624,-1.768299,-0.58855885,-0.10345176
1.3709435,0.50186133,0.8696835,-0.6305635,2.0734475,-0.28341895,-0.05040161,3.7540224,-0.6772497,-0.7549328,-1.1435914,1.0973217,0.7941736,0.20786148,0.6957505,0.13982692,0.39725658,0.034859177,-0.9347131,0.39423466,-0.12843888,0.49026966,0.79281414,-0.70425284,0.4355295,-0.848896
1.8294299,-0.6513104,1.2232286,-0.70320684,2.210149,1.4846201,1.0307124,2.0413656,-1.0546676,-1.0537913,-0.9908509,0.13849725,-0.72781754,-0.7081549,-0.79616994,-0.60007125,-1.0457687,-0.27782127,-0.19319414,-0.44654524,0.0680304,0.87807566,0.7514531,0.25458917,0.2852032,-1.1809913
1.8766421,-0.33753172,1.4237537,0.8600521,1.9288344,1.0655986,1.9361,-1.7963897,-1.6013047,-1.0934829,-1.2955729,-0.7400105,-1.4257709,-1.5212767,-2.1629682,-1.6268301,-2.3038893,-1.3739158,-0.50913465,-1.7808276,-0.9634697,0.6316547,0.092144884,-0.06622475,-0.32386175,-0.704368
1.5228225,1.0533627,1.4742335,1.4634833,1.2225807,-0.9402505,1.2512157,-2.5996268,-0.46446854,0.24078357,-0.5580353,0.39673698,-0.65434444,-0.02735236,-0.9063397,0.0029119134,-0.61512285,-0.65806365,-0.86526495,-0.9197136,-1.2824218,0.8314251,0.12317475,-0.48989162,-0.11677447,0.6826908
