Precentral_L,Precentral_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_L,Postcentral_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R
-0.10445413,-0.03919131,-0.11645145,-0.011924871,-0.06906548,-0.045277167,-0.07583007,-0.0055795717,0.00084819813,-0.046088267,0.003829478,-0.016653191,-0.031061297,0.0050682127,0.016876355,0.01341296,0.010122094,-0.06193535,-0.08684477,0.03022296,-0.0663503,-0.015464338,-0.031903856,0.049382288,-0.08844783,-0.0018446225
1.5293409,-1.2623593,1.6334232,0.06758976,1.6524845,1.4729153,-0.17673759,0.7701774,-0.4399562,-0.16229738,-0.7975657,-0.9162515,0.3845348,0.4490744,-0.6138195,-0.015935345,-0.5890681,-0.007692935,0.7794214,-0.48530403,0.80852634,0.07429342,0.062560596,-0.647107,-0.019461289,-1.704353
1.8022393,-0.47726128,1.1002575,-0.7713613,1.9695948,1.8475598,0.16363782,-0.4721871,0.2519278,0.4811417,-0.26844186,0.17345603,-0.6747014,0.85881066,-0.092536785,0.025271855,-0.27945653,0.7261469,1.0106477,0.22478221,1.1680727,0.28158826,0.08469389,0.045192037,-0.38377145,-0.17406219
1.0932863,1.101246,0.39838016,-1.0434539,1.5606773,1.2602097,0.8239928,-1.1173061,1.3741944,1.7011195,0.9144446,1.6417582,-1.551619,1.182684,1.0470076,0.5502602,0.25041583,1.8529676,1.1039915,1.280663,1.6761256,0.23127261,0.99190176,1.3369823,-0.28445095,2.1055546
0.79898596,1.1722277,1.2165157,0.46155277,1.2714623,0.66392857,1.0177305,0.3982041,1.4714943,2.2402494,1.2513745,1.3468821,-0.5957188,1.2644637,0.87740743,0.847434,-0.08688794,2.1395028,1.4577281,1.0574011,2.6160133,0.3279745,2.603275,1.3070965,0.7736543,1.7027495
1.081685,-0.23174521,1.7382205,1.8726149,0.56435984,1.0678297,0.69831806,1.3993973,0.51536727,1.3961277,0.41117713,0.04683528,0.810807,0.87674916,-0.67719,0.06782639,-0.9132418,1.3275764,1.1985945,0.13406433,2.5610783,1.0273093,2.8816278,-0.115795515,1.258326,0.05574069
0.6195389,-1.606232,0.94505227,1.035444,-0.63578165,2.47008,0.9883705,0.6031216,-0.15437092,0.38326195,-0.6449378,-0.402991,0.8427934,0.16931203,-0.8825515,-0.34613553,-0.99184424,0.9873691,-0.10638219,0.44778267,0.77490216,1.3562865,1.2873204,-0.8587108,0.17830952,0.08472646
-0.8067078,-2.093912,0.18995005,-0.72042316,-0.9949558,2.9755516,1.9166934,-0.14129792,0.07705944,0.47873384,-0.8628563,0.22560704,-0.13361537,-0.17134607,0.97024876,0.8310306,-0.27167714,1.7134202,-1.0150342,1.4403207,-0.7856708,0.7973136,-0.16930838,-1.09244065e-05,-0.5586933,1.0753384
-1.4260092,-1.275394,-0.024408478,-0.54802066,-0.01277569,1.164907,1.7845469,-0.090164505,0.3000945,0.775976,-0.22052476,0.7419127,-0.77022594,0.26483205,1.6582723,1.4981265,0.19067238,1.571076,-0.4884428,0.7279995,-0.44540238,0.45425728,-0.49624175,0.6962961,0.52297837,0.79631823
-0.53637064,0.52274436,-0.46342605,1.4225385,0.72706,-1.3546647,0.052782163,-0.0033563857,-0.15243937,0.0016797576,0.41873282,0.3036696,-0.3477272,0.9583875,0.05877913,0.13352972,0.3075253,-0.3813876,0.20366518,-1.1066494,0.47537565,0.52877086,-0.71228486,-0.049610186,1.4592177,-0.40863448
0.084962815,1.5410693,-1.0385312,2.345735,-0.15364262,-2.2833338,-1.5036148,0.05154096,-0.54202795,-1.0171834,0.49860525,-0.50479764,0.648724,1.0423906,-0.7418491,-0.8946077,0.8556463,-1.9588859,-0.18944806,-1.2434721,0.24479467,-0.12624308,-0.97785014,-0.6984636,0.4661285,-0.8168513
-0.54944706,0.99299735,-1.0402825,0.98638815,-1.6525753,-1.7697352,-1.4856974,0.23621856,-0.12311074,-1.1118871,0.20682095,-0.5791108,0.734377,0.29901922,0.091028035,-0.036725834,1.4304014,-1.643583,-0.7771189,-0.13253167,-0.6949846,-1.2832246,-0.54226756,0.19098742,-0.9264214,-0.42360732
-0.91276896,0.6924138,-0.5694649,-0.71178585,-1.7807026,-1.1576122,-0.6785945,0.48644948,0.6403462,-0.9363371,-0.11461789,0.060491648,-0.3830306,-0.5594277,-0.040949337,0.48174542,1.1548,-1.1337532,-0.46893454,-0.62343204,-1.2873644,-1.5365281,0.040635884,1.2687589,-1.1395574,-0.21785764
-0.003966811,1.7225156,-0.33854434,-0.7424731,-0.33943158,-0.75747156,-0.57024395,0.7701112,0.8063847,-1.2694002,-0.35837343,0.54464316,-0.76890457,-0.6898315,-0.93074507,-0.6635126,0.61155534,-1.8171622,0.01172425,-2.2108023,-1.2951956,-0.9392929,-0.17766012,1.002598,-0.93300325,0.073519476
0.8867661,2.3603668,-0.6602903,0.2885705,0.9812084,-0.3067617,-1.3276627,0.47366813,0.059034932,-1.3968741,-0.6599066,0.4222656,0.5109876,-0.3222714,-0.074377134,-1.5820594,0.43727133,-2.1065657,-0.4348665,-1.9726095,-0.6422804,-0.79574615,-0.6308876,0.2413296,-0.7865078,1.0443077
0.61309785,1.3686508,-1.04304,0.60884005,1.0687203,0.07174991,-1.6720332,-0.5772495,-0.87083143,-0.8151641,-1.1093508,-0.3462356,1.6742333,-0.45204017,1.607575,-1.0551622,-0.062989466,-0.6396105,-1.3312724,-0.12491295,0.369481,-1.5221366,-0.4304005,0.0038798554,-0.059380755,1.5679798
-0.17188439,-0.06732056,-0.7409627,-0.0047717844,0.6157235,0.084793136,-0.59856385,-0.886168,-0.87531143,-0.39526057,-1.1624818,-1.4164274,1.4776491,-1.1135447,1.489592,-0.3159041,-0.83308333,0.84618515,-1.2923031,0.59516627,0.66243106,-2.1216571,-0.07689492,-0.17798509,0.6658098,0.3456179
-0.31184897,-0.6358624,0.12916844,-0.49230272,0.71787673,-0.30095527,1.0587983,0.251041,0.040261865,-0.5307112,-0.096601896,-1.6474539,0.69833064,-1.3083949,0.033568908,-0.35483056,-0.47604427,0.4240964,0.013249852,-0.2256949,-0.0021170613,-1.2362474,-0.36349753,-0.18643758,0.321191,-1.3373559
0.5932926,-0.13935483,0.5575061,-0.5570145,1.5275227,-0.5234096,1.5784708,1.1622077,0.81844825,-0.10782645,1.416749,-0.50282824,-0.11978847,-0.6763883,-0.8368486,-0.3708119,0.9409205,-0.6334558,1.3407532,-0.6738521,-0.22430617,1.133381,-0.58819866,0.76059854,-0.23989287,-1.325521
1.8887421,0.9387822,0.26324117,-0.569894,2.3576105,0.24380144,0.7587874,0.84012014,0.97967845,1.2309955,1.5540711,0.46166885,-0.87948877,0.1968451,-0.96908,0.36187297,1.3855486,-0.29251373,1.3970366,-0.253021,0.71062213,2.7856874,0.3408807,1.5697674,-0.068999276,-0.28613132
2.1287048,1.1974262,0.24931179,-0.26739037,2.1770334,1.6002033,-0.04734625,0.44049817,0.6456458,1.640254,-0.17871487,-0.22326441,-0.85228956,0.72036767,-1.1386658,0.67007154,-0.08274495,0.44982284,0.36630973,-0.30847335,1.266228,1.8255483,1.3510319,0.75350827,-0.33108056,-0.3568114
0.6192696,-0.36286643,0.7188173,0.5455746,0.5822611,1.7256197,-0.28672937,0.6230149,-0.16105525,0.0775517,-1.9667751,-1.3043264,0.044145826,0.77786374,-1.1906849,-0.41927338,-1.6367618,-0.278651,-0.57421136,-1.0936807,0.18792565,-0.17986655,0.40060756,-0.2307974,-1.5010761,-1.0581732
-1.3055967,-2.1412015,0.3366254,0.9961635,-1.185951,0.05724753,-0.59457904,0.6411039,-0.63566506,-1.010311,-1.7200925,-0.84199697,0.68480027,0.8962005,-0.31052047,-0.8721804,-0.96344393,-1.1023797,-0.66474795,-1.0133717,-0.9175749,-0.22374931,-1.5652397,0.5122932,-1.501264,-0.34730816
-1.6378169,-1.8456426,-0.8209036,0.43976387,-1.4108787,-1.2562844,-0.7987691,0.13520147,0.1469248,0.58748376,0.3380402,0.5953333,0.510548,1.4452256,1.0859885,0.99790394,1.0534307,0.34581408,-0.0015272952,0.709917,-0.03076638,1.4597336,-1.5953296,1.3204978,0.4846413,1.2601117
-0.2053984,-0.24270818,-0.6057218,-0.48919213,-0.27487317,-0.42015448,-0.059329264,-0.85565567,0.89808685,2.389255,1.6136726,1.2387743,-0.07339181,1.4447508,1.1555308,2.2070413,1.0516402,2.6746604,0.7137366,2.511297,1.6259698,1.9515263,0.19793275,-0.028706843,2.0414116,1.5195235
1.0302607,0.18986851,1.0984277,-1.0368665,0.3942061,1.1796664,1.061441,-2.3191655,-0.09914335,1.1802334,0.5428058,1.0709429,-0.787921,0.086378366,-0.17079513,0.04776482,-1.1810632,2.7486475,0.7582428,2.674356,1.5215942,0.39369583,1.1580459,-1.97315,1.7338138,0.4792204
0.4320281,-0.60854536,1.6720561,-1.0692867,-0.35973316,1.3553069,1.2560976,-2.7870462,-1.4866518,-0.996751,-0.8471194,1.2198595,-1.2396557,-1.1922203,-0.3367166,-2.0207078,-1.8884585,0.9174509,0.34716272,1.7117249,-0.035190158,-1.0129083,0.99927425,-2.1739173,1.3847349,0.048513804
