Precentral_L,Precentral_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_L,Postcentral_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R
-0.022350043,-0.051494714,-0.066936664,0.14657108,-0.024715353,-0.06669049,-0.09505499,0.02578711,0.022492357,-0.01099058,0.036941513,0.064689815,-0.03241221,0.0286093,-0.09037214,0.01989616,0.03324038,-0.0052081165,0.051245704,0.0173321,-0.052257095,-0.042090323,0.029975908,-0.008069342,-0.109210506,0.0191208
0.7918205,-0.17015366,0.12717739,-0.22660634,0.28966334,0.1600044,1.175251,-0.24624552,0.50636446,0.52998877,0.8460249,0.03609322,-0.0075845947,-0.037163537,0.7233189,0.62728935,0.46704206,0.94724625,0.9835642,0.5818012,0.71209323,-0.71310127,-0.20310526,-0.07883443,-0.74416167,-1.2418956
0.49767765,-0.39718804,-0.33240575,0.032435168,0.40830648,0.060063098,1.159186,-0.0864938,-0.06526644,-0.23305035,-0.3156125,0.64435416,-0.35907695,-0.16631974,0.70000035,0.04812114,0.1916244,0.2951406,0.14680822,0.14647987,0.21122836,-0.64320076,-0.7097456,-0.62379056,-0.47292224,0.4992363
-0.24080083,-0.3281394,-0.9278683,0.026049195,0.3294863,-0.42574054,-0.07929288,-0.38664767,-0.95843005,-0.9564777,-1.6862491,0.50096637,-1.3268671,-0.4171129,-0.118812144,-1.0875443,-0.76041627,-0.9398302,-0.9185973,-0.90442544,-0.6497487,-0.03071911,-1.0409768,-1.0055571,0.055476926,1.7318168
-0.2347547,0.24840309,-0.8169337,-0.70463544,0.24779965,-0.9998468,-0.89299244,-1.0279633,-1.082258,-0.32531604,-1.1546437,-1.2115204,-2.3038669,-0.64484876,-0.9028202,-1.4211913,-1.502584,-0.95268095,-0.42517564,-1.2076141,-0.6551614,0.43700743,-0.5993265,-0.8767899,-0.07618672,-0.390008
0.6079814,0.80986875,0.11349822,-0.63480663,0.7547149,-1.0779247,0.037610035,-0.16937694,-0.4816198,0.22708946,0.060389422,-2.5165782,-2.0162647,-0.44386655,-0.72737056,-0.9088654,-1.1779436,-0.17062104,0.66778654,-0.2776481,-0.4840216,0.2060754,0.047173623,-0.9223402,-0.6871385,-2.0753896
1.6198924,0.7955552,1.3172058,0.7795167,2.2053404,-0.31734234,1.7914616,1.7158085,0.24924327,-0.7132515,0.15586634,-1.2874542,-0.35832545,0.27591875,0.5904465,-0.47140485,-0.02452,-0.07228055,0.8809482,0.8105819,-0.86225194,-0.49316752,-0.14827625,-1.0640094,-1.0791211,-0.08727676
2.052203,0.35660908,2.0018725,1.2380311,3.5161405,0.85572565,2.4526844,1.3635168,0.6165512,-1.6407988,-0.18289645,1.5246148,0.9177402,0.92455137,1.8711991,-0.22293276,0.9141644,-0.27189443,0.39532432,1.1475374,-0.5754262,-0.39296234,-0.5689311,-0.32571566,-0.8241573,2.500342
1.4293377,0.1748082,1.8328631,-0.39563233,3.164779,1.684667,1.7229711,-1.0441632,0.522177,-0.8717442,0.094948284,3.0592415,0.6583338,1.0785264,1.7002368,0.38864487,1.0829247,0.3824365,-0.042343978,1.2382265,1.1090239,0.896116,0.21031173,0.93364066,0.14395152,2.1995049
0.22090584,0.55779624,1.2080586,-1.8278204,1.3561616,1.6576715,0.79427826,-1.1476419,0.49277008,0.289518,0.35070947,2.1568472,0.057665374,1.056501,0.6864894,1.0908943,0.78384864,0.9825589,-0.1511177,1.4341851,2.2926052,1.4244137,1.4674596,1.3559794,1.3648226,0.3888772
