Precentral_L,Precentral_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_L,Postcentral_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R
-0.05237754,-0.03173999,-0.07317037,0.04934327,-0.04800151,-0.008817719,-0.08778707,-0.03994517,0.054307804,-0.029715138,-0.028155053,-0.15290613,-0.11138738,-0.106361516,-0.0797425,-0.084838875,-0.025876176,-0.12071795,-0.07853955,-0.15406828,-0.16759346,-0.09745393,-0.015890777,-0.034503996,-0.1488706,-0.15375225
2.235363,1.1933901,1.4841845,1.0702094,1.236725,-0.17909418,0.77548724,0.7221967,-0.44013914,0.029258111,0.1590005,2.0676293,2.329487,2.0026112,0.74707514,0.95989454,0.06266667,1.1221116,0.35129312,2.162321,3.0098968,1.0937681,-0.07544401,0.6066022,1.946432,-0.23478024
2.0135705,1.0196806,1.773809,0.62552553,1.4557028,0.07412444,0.50034034,1.6294287,-1.5731167,-1.2011651,-0.498724,0.4380997,0.846632,1.2598621,-0.27533978,0.17401825,-0.79565483,-0.41687274,0.27500054,1.7866646,2.3522718,0.9597752,-0.46815944,-0.78085554,2.1950889,-0.3123509
-0.22127584,0.17688435,0.3964177,-0.6139139,0.5503171,-0.079694144,0.25291544,1.9902533,-1.5659628,-1.2771236,-0.26401603,-1.3524197,-1.4185128,-0.7315503,-1.6080055,-1.182648,-1.1177783,-1.5482645,0.5874859,0.0073428173,0.25935358,-0.27352455,-0.8432177,-2.0258658,1.2672714,-0.33992162
-1.9668621,0.22067758,-1.4398805,-0.9314235,-0.7872999,-0.71528083,0.73757744,1.449926,0.45357597,1.2670956,1.6304624,0.48116362,-0.2298333,-1.0065227,-0.97196174,-0.92721295,-0.030279072,0.6136662,1.5936768,-0.62260807,0.0063155084,-0.7248051,-0.5069868,-0.48865137,0.8581322,0.4224926
-1.8028121,1.0741042,-1.9889597,-0.23929693,-1.5727612,-0.36179224,0.69563997,0.6776909,2.2251275,3.4770627,2.7458477,2.732308,2.3337674,0.23446228,0.6855052,0.51957047,0.8609835,2.9220207,1.845621,-0.16277328,0.35896415,0.6844215,0.6936634,2.1182568,1.1678137,2.071906
-0.619059,1.36566,-1.1554605,0.031178087,-1.1060573,1.0677062,-0.13740416,0.22310975,2.0124488,3.025686,1.7400277,1.720735,2.147896,0.9296313,0.76415193,1.0908316,0.41650924,2.1022348,0.572546,0.043846197,-0.17630206,2.298982,2.1160514,2.3848164,1.3366252,2.847859
-0.26893786,0.56741077,-0.60944813,-0.31693226,-0.08361048,1.3579786,-0.51844895,0.06343327,1.0652276,1.6217343,0.7660242,-0.56326115,-0.23564121,0.288489,-0.90152705,0.24856704,-0.5878806,0.09305172,-0.87718654,-0.12959354,-0.06341131,1.8655444,2.7669659,0.20282088,1.1700244,1.4487405
-1.3016462,-0.5070315,-1.373482,0.11628387,-0.058821656,-0.38833535,-0.55615586,0.25487107,0.79932296,0.9310067,1.2095666,-1.149599,-1.7563859,-1.1819496,-2.2120578,-0.8580325,-1.2993724,-0.5122411,-1.170845,-0.39063928,1.1597763,-0.16477385,2.0445101,-1.9174056,1.0420127,-0.8282734
-2.1066675,-0.83159333,-2.1786528,1.3686017,-0.9512231,-1.9624534,-1.1400293,0.6877836,0.79257226,0.26125115,1.4263488,-0.54206,-1.4899929,-2.340396,-1.860825,-1.2806159,-1.4124922,-0.513361,-0.63686424,-0.8643545,1.2771121,-1.1864974,0.63298553,-2.3238869,0.8744767,-1.5739243
