Precentral_L,Precentral_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_L,Postcentral_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R
0.030569602,-0.035689645,0.09736,0.062545024,-0.036158614,0.059063427,0.06565775,-0.023731448,-0.0894307,-0.06579434,-0.11757089,-0.055158217,-0.004141516,-0.05238528,-0.093632445,-0.07941849,-0.091132626,-0.07724563,-0.17605843,-0.12098624,-0.22071238,0.025302893,-0.030601375,-0.07764686,-0.2549465,-0.053379886
-1.4618039,-0.95662224,-1.3137407,-0.75525934,-0.74940455,-0.5564856,-1.2799964,-1.9623269,-0.34923315,-1.5500835,-1.1207533,-0.33476612,0.2435784,-0.7211633,-0.52297425,-1.420093,-0.8902605,-1.7288268,-1.1625468,0.20259494,-0.22179101,-1.5197337,-0.976306,-1.4780859,0.37097317,-0.23186634
-0.45549527,-0.5057104,-1.3569757,-0.9706807,0.7089929,-0.28080368,-1.6105659,-2.1937788,-0.29787785,-1.6633421,-0.85556996,0.24273317,2.3668795,-0.3619011,0.7893571,-0.71281385,-0.54056823,-1.1981146,-1.230103,0.91533947,0.49105242,-1.0344856,-0.44782534,-0.92400485,0.7156094,-0.8855995
0.28148285,-0.040558286,-0.34458894,-0.43845844,1.4837734,0.48528278,-0.52008116,-0.93520516,0.07889362,-0.5549987,0.23319569,0.34427348,2.717958,0.00492499,1.6304775,0.46484724,0.37018898,0.4605008,-0.42520642,1.0120974,0.8192674,0.01834519,0.4369144,0.5171212,1.4262545,-1.2677966
-0.65873,-0.7702576,0.26436308,0.4229493,0.09148305,0.67892635,0.5241078,-0.015355986,0.50337774,0.97636026,1.1812466,-0.0330845,0.13035029,-0.119946375,0.5082112,0.39364672,0.92157173,1.171517,0.4254475,0.3744332,0.34161764,0.2315334,0.27740696,0.79086685,2.2975583,-0.9603987
-0.679126,-1.1532115,0.3035225,0.70953333,-0.7070382,0.26369452,0.26739803,-0.0058037345,0.45250687,1.9236165,1.5761222,0.7328775,-0.7672437,0.0587335,-0.6355245,-0.12811238,0.813997,0.71642715,0.5932582,0.169429,0.18034701,0.31142905,-0.47715428,0.12722579,1.7371218,-0.7642993
0.28123194,0.06073931,0.9251786,-0.07499408,-0.24043332,0.13862634,0.015937557,0.18367662,-0.07066182,1.1884351,1.2071425,1.6333406,1.1423583,0.1795609,-0.7026233,-0.3247919,0.08132509,-0.14259946,0.016982349,0.43419698,0.5900716,0.25620586,-1.001841,-0.007701531,-0.22803617,-0.7591099
0.14005683,1.2562138,1.7430543,-0.95500696,-0.32601282,0.495289,0.78759396,0.4853777,0.080519095,-0.4103963,0.5203478,0.6281233,1.6008241,-0.3235544,-0.46603352,-0.32123807,-0.19647552,-0.70869505,-0.47962984,0.58514005,1.0386074,-0.36701363,-1.0521821,0.5220846,-1.0055568,-0.08383019
0.04883244,0.95900005,1.102529,-0.5931019,-0.2802044,0.57807714,1.0762435,0.06027768,1.4268762,-0.30823034,0.653706,-0.7805877,-0.21912864,-0.17445312,0.23311235,0.28624973,1.0733175,-0.075671636,0.22613366,1.0026534,1.6841094,-0.32946333,-0.43319622,1.0240378,0.508152,0.78207666
1.5375139,0.3471454,-0.5113159,0.57309556,1.087156,-0.13523036,-0.0034483564,-0.21499424,2.2652113,1.5266798,1.5500107,-0.18479258,-0.7490166,1.2011398,1.28402,1.3783568,2.2770998,1.4414693,1.7340273,1.4668661,2.1727228,0.8131986,0.3527145,1.1341039,1.7708743,0.75514245
