Precentral_L,Precentral_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_L,Postcentral_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R
-0.007440613,0.0138183655,-0.021154199,-0.028335242,0.021092484,0.025760155,-0.0075039356,-0.082350686,0.04009305,-0.023455763,0.001953832,-0.0345742,-0.010018669,-0.0014811608,0.06074245,-0.015548703,0.013418794,-0.0053660646,-0.028047403,0.0077678184,0.08263231,0.03323483,0.051173046,0.03085191,-0.019958599,0.014099972
0.8044804,0.6149398,-0.10665423,0.16761798,-0.53161573,-0.8556386,-0.32031205,0.036351435,-2.4079282,-2.9176307,-2.4863343,2.2011302,0.80187297,-1.3545498,-1.9841454,-3.313834,-2.361292,-2.0365386,-2.7010505,-2.5204532,-3.423344,-1.5266885,-1.5016189,-0.81337607,-2.3907547,2.9849946
0.9773557,1.1793526,-0.12973757,0.8119125,-0.25317743,-0.53523713,-0.36221245,0.46554893,-1.92049,-3.0024261,-1.9187077,1.8444228,0.7495468,-0.6082479,-2.3848367,-2.924034,-1.661532,-2.5861778,-1.7646759,-2.148653,-2.6875207,-1.6326239,-1.3858731,-0.30500707,-2.167052,3.3893545
0.5915301,1.4757841,-0.032479007,1.733766,0.43809903,0.59130615,0.051296074,1.2947363,0.43410483,-1.1047652,0.39811808,-0.120826855,0.31794444,0.99373204,-0.9896594,-0.7975329,0.47819436,-1.8807018,0.73088294,-0.6629071,-0.18531692,-0.97336143,-0.65891546,0.5179471,-0.7697885,2.0313776
-0.0073934225,1.0504154,-0.13303517,1.7000809,0.39435512,0.99744487,0.29999557,1.3786445,1.16667,-0.2654285,0.9832725,-1.1519595,0.16140111,0.5897453,0.35025737,-0.790755,0.4634753,-1.314824,0.94587475,-1.0002677,-0.13992994,-1.0435363,-0.84135526,-0.06368258,-0.49373585,1.3489677
-0.70607847,-0.038913015,-0.7762763,0.119235806,-0.6407541,0.22225435,-0.35313472,-0.06658643,-0.36705768,-1.1872635,-0.42106593,-0.6204756,-0.20627323,-1.5078362,-0.08566459,-2.2722409,-1.3251032,-1.4236312,-0.52372336,-2.2792885,-1.5642099,-1.7664177,-1.2722063,-1.3241032,-0.5858716,1.7754383
-1.16972,-0.72015303,-1.3866639,-1.2232538,-1.449791,-0.32125998,-1.1058289,-1.2483673,-1.1036961,-1.4321069,-0.85605013,0.4771654,-1.0691078,-1.9234558,-1.3155054,-1.9008305,-1.2155287,-1.231195,-0.5776672,-1.8783178,-1.1421441,-1.673221,-0.6236485,-0.9214432,0.5177543,1.7984505
-0.94051874,-0.3273888,-1.0662639,-0.5505981,-0.9608852,0.3813129,-0.6021594,-0.5896242,0.33623445,0.03791179,0.43915668,1.3435242,-1.2927397,0.027931286,-1.2208774,0.16606435,1.2119414,-0.2278928,0.6651097,-0.11682096,0.6323624,-0.24357338,0.6757293,1.0506763,1.8321569,0.7669308
-0.4227339,0.064201325,-0.1581964,0.7525445,0.024128612,1.0944408,0.58332354,0.21429157,1.2588471,0.7295849,0.7746588,1.6541014,-0.20757471,1.1232437,-0.095446795,0.8422844,2.0777814,0.29665455,0.6805807,0.62239677,0.79444057,0.9869033,1.1046635,1.6235213,1.4965134,-0.35518909
-0.42835012,-0.55523235,0.27243406,0.37923345,0.083772294,0.3713168,0.81188095,-0.28817263,-0.023037078,-0.76450515,-0.7350959,1.3708327,0.82352275,0.15570663,0.21159947,-0.13294049,-0.0013294461,-0.4730434,-0.4356657,0.115767464,-0.72394353,0.58512217,0.3333258,-0.2483197,-0.07086679,-0.77477187
-0.7494553,-1.186168,0.065713465,-0.78593,-0.49558514,-0.91639817,0.13397294,-0.39645085,-1.1949698,-1.846134,-1.4676025,0.77599794,0.37577003,-0.31086752,-0.26487228,-0.26622826,-1.4996496,-1.0544655,-0.50713974,0.09652038,-1.2600156,-0.5353424,-0.6050889,-1.744345,-0.9528318,-0.7726044
-0.6233111,-0.76694256,-0.25608906,-0.30812827,-0.5190079,-1.0851613,-0.23045482,0.6527661,-0.49265668,-0.48386237,-0.3850199,0.13401896,-0.7917689,0.57532376,-0.1083792,0.6730035,-0.36030066,-0.10972909,0.25586802,0.7529082,-0.15220517,-0.62913525,-1.0297484,-0.7580128,-0.5300554,-0.88013065
-0.08974006,-0.24407798,-0.36041415,1.2634238,-0.0757852,-0.28765768,-0.18574433,0.69192606,0.32972327,1.3989856,0.25662398,-0.39248922,-0.7524583,0.59738064,0.7139757,0.8863237,0.90746546,1.4430081,-0.021331413,0.9435367,0.57190394,0.2576944,-0.92313015,1.0616157,0.24318054,-1.1613951
0.31929746,-0.61426955,-0.052436557,1.398505,0.010484169,0.2521893,-0.37861872,-0.77596086,-0.30480328,1.5686806,-0.5295205,-0.65361565,0.786558,-0.5721133,1.053614,0.4561466,0.3743105,2.1338341,-1.0202031,0.6377645,0.05585112,0.8080748,-0.3039134,1.3350747,0.5910729,-1.1989807
0.46374536,-1.002473,0.49967834,0.18855861,-0.10529305,0.24493517,-0.60671043,-1.3748723,-1.2483083,0.61744446,-1.0563645,-0.85617435,1.6018599,-0.74877656,0.4484808,0.5008781,-0.52111864,1.6411778,-1.1629207,0.32192567,-0.40916258,0.5545466,0.2252909,0.11596909,0.5047085,-0.68438935
0.4701916,-0.37772778,0.66291016,-0.07759156,0.21364379,0.05865096,-0.32713544,-0.23930413,-1.165828,0.060031798,-0.491256,-1.1906214,-0.11912034,0.21843004,-0.39732063,0.60676754,-0.56745976,0.55089843,-0.52490354,-0.019154293,-0.16112453,0.2032566,-0.05406357,-0.6930348,0.11583814,-0.19012953
0.38039073,0.6887989,0.27937126,0.7994608,0.69375086,-0.20841497,0.10886892,1.1120042,-0.53806895,0.26711103,0.18581311,-1.089847,-2.4724307,0.22881778,-0.3731764,0.2234099,-0.6063103,-0.14399165,0.00843284,-0.067764714,0.06926787,0.31923565,-0.30011097,0.2735474,-0.36287457,-0.6179972
0.15282984,1.1007421,-0.14685299,1.0233427,0.52439314,-0.39395174,-0.02680812,1.6344277,-0.38025275,0.6662309,0.39394325,-0.27265602,-2.1236882,-0.97066396,0.5910522,-0.18741839,-1.1727546,0.05373173,0.27235317,0.17993788,-0.07060285,0.6083349,0.51007015,1.7993069,-0.50988734,-1.769483
-0.14446406,0.8594239,-0.27886197,0.42340985,-0.21053427,-0.17187947,-0.49348533,1.2749467,-0.6180073,0.64524305,0.5546893,0.28636414,0.31846228,-1.3955066,1.0308897,-0.5571715,-1.393054,0.5527395,0.3477426,-0.21742097,-0.07244533,0.6798091,1.2158996,1.2220335,-0.29401,-2.314855
-0.08245963,0.85844684,0.07325786,0.2381164,-0.4166996,0.34284016,-0.20269091,0.4457478,-0.20937733,0.49795395,1.0611888,0.12431524,1.24239,-0.16519786,0.17545892,-0.8298599,-0.4621206,0.8773313,0.51793814,-0.7752651,0.45906115,0.70180357,0.6174828,-1.1452851,-0.1780066,-1.1156486
