0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
1.0,0.5152952,0.5547433,0.1814053,0.22551718,0.09307454,0.47959644,-0.07195953,0.36114645,0.19031994,0.21245964,-0.041804675,0.44008663,-0.05509336,0.10642021,0.24717416,0.029894726,0.075415,0.42531458,0.22299792,0.026978947,0.01833253,0.37773255,0.22641766,0.19281015,0.105062924,0.302051,0.112287395,-0.08304525,0.03916552,0.08822225,-0.066161245,0.18010584,0.15894167,0.1538424,-0.0019579732,0.2973431,0.05562877,0.1907318,0.027041717,0.096835986,0.18491456,-0.028817585,0.10288049,-0.028562717,0.26104087,0.041134443,0.1663112,0.21759483,0.41299257,0.43389872,0.24421182,0.33888894,0.14439076,0.10570529,0.048964277,0.76319784,0.6409499,0.65674347,0.5876964,0.46538395,0.25288135,0.049339514,-0.0209552,0.19364934,0.081754975,0.30109796,0.032663934,0.6880738,0.50011116,0.2480269,0.26381654,0.03371967,-0.055503745,0.15194361,0.033872955,0.3161522,-0.1192308,-0.09292861,0.23625903,-0.1371256,0.17972568,-0.25265276,0.17971024,0.12886645,0.106579944,-0.062331747,-0.08220365,0.10804148,0.3115661,0.015227512,-0.12563713,-0.013720452,-0.022608582,0.27440277,0.22191477,-0.021579059,0.025401182,-0.095316485,-0.09254585,-0.1355658,-0.055620577,0.022931676,0.13555944,-0.07863928,0.053141598,-0.13605443,0.022753049,0.02187925,0.36974138,-0.11221911,-0.12829575,-0.05727857,0.120060936,-0.23017073,-0.07662872
0.5152952,1.0,0.42086157,0.5044593,0.30632636,0.1579328,0.41781986,0.3591157,0.28486726,0.29923624,0.07393966,0.4223629,0.09432874,0.3374771,0.24872158,0.33323234,-0.0033987884,0.3019877,0.68168396,0.64078224,-0.060608312,0.24189606,0.46342596,0.51689744,0.16126254,0.20452015,0.2866081,0.3028774,-0.1234609,0.28385848,0.32625064,0.32556462,0.25022954,0.51879346,0.34904328,0.35444272,0.2977959,0.29941407,0.3355677,0.1827189,0.26529968,0.27019602,0.21479742,0.2833238,0.20424502,0.3333841,0.24740061,0.21717568,0.25088468,0.36857167,0.31581244,0.32741964,0.49665225,0.36081123,0.42547244,0.19436634,0.5326816,0.7100703,0.40183964,0.7249698,0.2823676,0.6109859,-0.17066859,0.33941263,0.05186271,0.42278245,0.27234638,0.2947764,0.44890648,0.40994665,0.25083238,0.4698815,0.019522566,0.13752837,0.2412217,0.095119506,0.47071347,0.25342396,-0.16256134,0.44839597,-0.4780547,0.3276332,-0.14152254,0.3917977,0.2714537,0.37341,0.113089085,0.13399874,0.41252702,0.5258422,0.2916508,0.21410377,0.32004192,0.2798119,0.35113764,0.077712424,0.28832066,0.17149304,0.31463888,0.24213232,0.15364724,-0.030185781,0.23668498,0.33266506,-0.023469694,0.21508081,0.053409487,0.114728734,0.038033832,0.2529068,0.08907076,-0.045135643,0.17094672,0.2743415,0.0050700773,-0.061251797
0.5547433,0.42086157,1.0,0.44330272,0.3133989,0.3956104,0.786697,0.1852182,0.4514497,0.32047722,-0.010377305,0.028251018,0.30044943,-0.017735014,0.2202096,0.24985854,-0.18493782,0.055061884,0.4323715,0.11526968,0.27927855,0.271322,0.5625956,0.51125735,0.37658545,0.3616647,0.56575084,0.431068,-0.17679664,0.00025727862,0.28159818,0.2134646,0.13633409,0.2246392,0.3378249,0.24256554,0.4321919,0.3951084,0.25646996,0.29896334,0.2650117,0.45198938,0.12835817,0.112283975,0.025801146,0.1855352,0.019565154,0.16949128,0.058521304,0.2135345,0.3116118,0.20308897,0.3448169,0.33722198,0.39790055,0.24585319,0.47450098,0.3911732,0.41451308,0.375857,0.26226467,0.26059565,0.0019322541,-0.030986357,0.27021322,0.27383208,0.52584416,0.28201747,0.49448904,0.38074413,0.33220342,0.36250815,-0.006050477,0.16201454,0.286346,0.3776274,0.1599512,0.0336465,-0.26614365,0.15525918,-0.08540909,0.28815272,-0.048883136,0.12628058,0.14101933,0.37230042,0.05417727,0.014745002,0.28998098,0.5724788,-0.015308995,-0.16896422,0.07345862,0.1970465,0.21466334,0.2889241,0.25262862,-0.041266937,-0.06291358,-0.09253153,0.08834374,0.19546585,0.17829931,0.16349503,0.09733622,0.17048681,0.16580729,0.20344137,0.059601694,0.4329575,0.072212644,0.0036967676,0.051311873,0.1552894,-0.040691786,0.12757145
0.1814053,0.5044593,0.44330272,1.0,0.35428518,0.41834366,0.4385187,0.5571403,0.28277713,0.4449132,0.006680044,0.18774931,-0.046253767,0.1457108,0.31117296,0.27380964,-0.07563546,0.041082796,0.5060865,0.4038546,0.26799065,0.45263138,0.4556249,0.64769787,0.3145016,0.56469053,0.47477242,0.6131358,-0.1665954,-0.056267794,0.38299274,0.4798051,0.19851957,0.48229522,0.5234858,0.52794737,0.20261306,0.34646776,0.22780225,0.3175706,0.36948037,0.21267545,0.35045433,0.2984885,0.3103068,0.24484321,0.15786012,0.12480022,0.15380962,0.119202435,0.11287624,0.18203326,0.18927214,0.367535,0.3380787,0.25878495,0.19320999,0.28416777,0.067665555,0.3494787,0.11393553,0.38724852,-0.08664159,0.01893487,0.17897215,0.6951156,0.50986546,0.59964126,0.20083864,0.20817384,0.19081894,0.4013759,-0.092044406,0.11601115,0.08832723,0.21123311,0.27693835,0.2688869,-0.22578502,0.12565824,-0.29231668,0.30598995,-0.12128537,0.17756,0.08735977,0.6792582,0.08741797,0.18691114,0.3036821,0.5642502,0.28951302,0.2338786,0.4178355,0.27299082,0.29341736,0.026469491,0.24751005,0.06938216,0.26125008,0.25330502,0.3440139,0.13761704,0.24945554,0.24178466,0.23614624,0.4275044,0.29202273,0.32953966,0.095323786,0.17483346,0.22792535,0.10813409,0.30870458,0.21141331,0.22187276,0.17268485
0.22551718,0.30632636,0.3133989,0.35428518,1.0,-0.11214126,0.4569246,0.39211822,0.36840597,0.18570015,-0.16828284,0.22488317,0.08607621,0.0957261,0.018533397,0.5545497,-0.42662477,-0.069855094,0.45215067,0.20824084,0.41219077,0.5655084,0.75018436,0.259097,0.667662,0.29568687,0.337141,0.38688207,-0.3975618,0.097296506,0.43644938,0.19192012,0.6418697,0.3864412,0.44149053,0.4285171,0.33333588,-0.014813263,0.4422488,0.34574232,0.3293048,0.16694453,0.16787092,0.34871036,0.36045676,0.059502117,0.27211806,0.1768058,0.40692472,0.16729198,0.25541547,-0.059905987,0.35727653,0.11192477,0.24664897,-0.1874112,0.05198284,0.1431014,0.36412987,0.2184799,0.34453547,0.09958046,0.25910604,0.10440031,0.31082612,0.4393989,0.32767022,0.28008607,0.33035502,0.16344567,-0.04472676,0.29181284,-0.27825835,0.10543039,-0.08747815,-0.098620765,0.2698262,-0.034701437,-0.29455897,0.33102253,-0.35760716,0.018027844,0.12840338,0.5696992,0.19494672,0.20342202,0.066406064,0.47390187,0.38196453,0.33907127,0.5703676,0.40539628,0.5060124,0.38724962,0.1377322,-0.0010122966,0.09935109,0.19267273,0.4353377,0.42892548,0.17537467,0.011271012,0.04106676,0.49832988,-0.18439387,0.23130368,0.08724846,0.32467374,-0.015979951,0.002376715,0.07428917,-0.21416411,-0.08410363,0.26525402,-0.033075526,-0.121066965
0.09307454,0.1579328,0.3956104,0.41834366,-0.11214126,1.0,0.33505747,0.16648628,0.38078326,0.62390643,-0.016947033,-0.0068534585,-0.07688424,0.104515634,0.59628206,0.17428315,0.16763492,-0.09985921,0.15629098,0.013197491,0.16521598,0.08091749,-0.019233856,0.5341126,-0.18739049,0.3987493,0.5276603,0.54415035,0.18780385,0.037619725,0.06577662,0.34988865,-0.3601047,0.023115711,0.055596333,0.08348039,0.03456052,0.46622798,-0.1059363,0.05001379,0.3094711,0.22688723,0.13172029,-0.07782632,-0.09200563,0.19394603,-0.18651956,-0.063303806,-0.1732698,-0.008714588,-0.020804003,0.20115662,-0.12455872,0.39427444,0.2106661,0.41815814,0.21652915,0.16674547,-0.15247831,0.14060766,-0.27332717,0.38987836,-0.46247613,-0.085325144,-0.14910805,0.3170795,0.19396971,0.15447925,-0.073544726,-0.02348088,0.35752985,0.33450314,0.32144257,0.40390536,0.46009955,0.5280232,-0.11658973,0.3495034,0.0030062967,-0.066239595,0.015958121,0.47595984,-0.0072704605,-0.24895978,-0.07960313,0.5325668,-0.10452232,-0.28841507,0.019631136,0.35881737,-0.4117973,-0.29718506,-0.17538273,-0.21477164,0.2662616,0.3774167,0.14396396,-0.11272343,-0.31415072,-0.26223615,0.08969346,0.10858649,0.21308136,-0.27042195,0.43921688,0.03393319,0.17339571,0.03177882,0.10897139,0.34363285,0.02221724,0.15098318,0.10012546,-0.15458249,0.031168124,0.23172429
0.47959644,0.41781986,0.786697,0.4385187,0.4569246,0.33505747,1.0,0.33571792,0.60849386,0.29792264,-0.008883574,0.13554898,0.4210647,0.030371195,0.18013103,0.27561226,-0.22068952,0.10037679,0.54925525,0.21980274,0.2990476,0.2918883,0.58014536,0.4302544,0.36834702,0.22607005,0.47313058,0.3822496,-0.2200565,0.051233046,0.26791734,0.106858395,0.26055518,0.28017434,0.27835158,0.22120158,0.38091433,0.30688652,0.28432438,0.28430626,0.2975753,0.37352595,0.1521425,0.15865958,0.099975236,0.17556432,0.07482976,0.15614764,0.17559832,0.2718502,0.33786324,0.25126243,0.3112243,0.28490198,0.42037347,0.15800172,0.44043708,0.37677252,0.47514704,0.4294387,0.37482193,0.3398184,0.046896033,0.05053169,0.41005605,0.37046432,0.54062533,0.32492548,0.40049633,0.40180278,0.23324904,0.3006565,-0.006034559,0.2421762,0.29942837,0.33829764,0.22879048,0.045757644,-0.21173598,0.2001374,-0.18839833,0.24154386,-0.0042460035,0.224955,0.17892368,0.2896605,0.107232146,0.084373586,0.31432223,0.5073846,0.09926979,0.01770461,0.13939393,0.24946803,0.13704045,0.22804153,0.21498208,-0.03421131,0.07222342,0.051724423,0.14289707,0.12904263,0.19328591,0.27606446,0.05250336,0.20960444,0.15913345,0.22271843,-0.03489478,0.32502526,0.17675693,0.009899647,0.06471243,0.2663707,-0.038808692,0.082845755
-0.07195953,0.3591157,0.1852182,0.5571403,0.39211822,0.16648628,0.33571792,1.0,0.3497115,0.3410253,-0.057688188,0.5705108,-0.07413146,0.5243565,0.13419221,0.37386614,-0.13371143,0.15367553,0.5260369,0.4594015,0.104183495,0.21720697,0.4253219,0.48242167,0.11683145,0.21120627,0.092360355,0.2670792,-0.33553755,0.2782852,0.28490427,0.44635004,0.3323711,0.5806157,0.24233156,0.39088157,0.12868409,0.22896415,0.12706387,0.29671752,0.34481633,0.19682549,0.15664858,0.20021468,0.16773207,0.028404593,0.11122557,0.09145832,0.021815713,0.0076122484,-0.120966904,0.12695284,0.082020506,0.25572798,0.30445164,0.1377057,-0.08676185,0.05521345,-0.032985877,0.2581318,0.10875874,0.47776344,0.01893166,0.42403567,0.20026535,0.6486088,0.18984057,0.3696912,0.07612633,0.24240716,-0.13171189,0.28536737,-0.1880569,0.28181112,0.029435944,0.13905011,0.030313067,0.30319118,-0.25167277,0.14137529,-0.25931144,0.22468802,0.113686666,0.19649053,0.08857117,0.4276553,0.0030934112,0.25090745,0.31479645,0.3831337,0.29190898,0.2236707,0.37106282,0.31929496,0.1823182,0.061701484,0.38045877,0.17530051,0.43875936,0.30357718,0.5569266,0.31367978,0.31274757,0.18104018,0.16113436,0.35067946,0.22848901,0.23767148,-0.084278025,0.15530838,0.45280513,0.12940449,0.20586726,0.17566307,0.25624365,0.01800041
0.36114645,0.28486726,0.4514497,0.28277713,0.36840597,0.38078326,0.60849386,0.3497115,1.0,0.43940145,-0.02784024,0.23121272,0.27394953,0.1785732,0.43339515,0.47042736,-0.037393644,-0.027084794,0.45824182,0.22323419,0.23084095,0.057611436,0.3332911,0.3685203,0.051334303,0.11700772,0.388534,0.35093543,0.023374008,0.16986927,0.12473848,0.09312733,0.038817912,0.12737827,-0.012514628,0.005529416,0.22301951,0.15834253,0.09684955,0.06386506,0.3566564,0.1846179,0.046750743,0.022441983,-0.06756193,0.07302677,-0.029561361,0.08926223,0.043164395,0.11798616,0.20149507,0.23471774,0.11065069,0.1823163,0.2100663,0.15166865,0.29989818,0.23011643,0.20879571,0.29503277,0.19836919,0.42633784,-0.2662425,0.12880145,0.05725625,0.2723243,0.08182907,-0.06303875,0.16706832,0.13234341,0.17435376,0.34776965,0.22491089,0.3082623,0.36544865,0.28627566,0.11662017,0.18390284,0.052261095,0.111842036,-0.1403493,0.24872729,0.05673844,0.100554965,0.103015095,0.22909442,-0.1446077,-0.010207828,0.13867252,0.26845115,-0.051664136,-0.037224878,-0.020315308,-0.10266493,0.25754282,0.2922074,0.06986911,-0.058132652,-0.033430833,-0.06561213,0.10945966,-0.042918142,0.13380878,-0.047504984,0.06216317,0.009691499,-0.015944878,0.12267137,-0.025462344,0.3647937,0.040918715,-0.027205534,-0.037207846,0.032292366,-0.2378092,-0.04726459
0.19031994,0.29923624,0.32047722,0.4449132,0.18570015,0.62390643,0.29792264,0.3410253,0.43940145,1.0,-0.058092546,0.08495969,-0.16652694,0.17984597,0.46806127,0.5223298,0.04638008,-0.21933617,0.33704275,0.12612848,0.16839427,0.115452066,0.22723164,0.4854527,-0.04857262,0.2851878,0.46690974,0.4401994,0.0032679492,0.05876654,0.062238336,0.33673745,-0.09656031,0.11170096,0.10923635,0.07616024,0.0062881103,0.25550628,-0.032211803,0.05712069,0.34708315,0.19990857,-0.009353017,-0.10740239,-0.07056205,0.02026214,-0.20086108,-0.12030821,-0.1408517,-0.006754749,-0.066465355,0.03461185,0.027522387,0.35207886,0.13717957,0.14406256,0.23289792,0.23997395,-0.065438315,0.18817863,-0.103384644,0.44389656,-0.27537844,0.12856396,-0.034081917,0.43758634,0.047207806,0.0132891135,0.12483508,0.05941045,0.20404571,0.3005771,0.08769116,0.14426823,0.30983606,0.109713,-0.03287901,0.24101901,-0.01818524,0.09032232,-0.13257693,0.48041007,-0.016313592,-0.00923952,-0.04536135,0.4561744,-0.2785407,-0.14488098,0.09575062,0.32574433,-0.13537143,-0.15618765,0.03789275,-0.12198087,0.39494404,0.25884882,0.116906755,0.043405134,-0.10218627,-0.10251776,0.12601346,0.1072585,0.15291466,-0.1522067,0.26233697,0.043417413,0.10438583,-0.041833453,0.080059335,0.2708952,0.13262391,0.11730217,0.06557686,0.023953484,-0.06310959,0.064260826
