Precentral_L,Precentral_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_L,Postcentral_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R
0.05191183,-0.05161055,0.033051845,-0.046161883,0.055681217,0.047817513,0.045864746,0.024234315,-0.00319524,-0.04706665,-0.059951212,-0.02733253,-0.013773929,-0.019919457,-0.01689618,-0.029492436,-0.046307746,-0.03845963,-0.016714748,-0.011565479,0.013462984,-0.00904041,-0.04940078,0.058148928,-0.077451915,0.0019873593
1.9308577,1.8031358,3.0999985,0.6756915,1.5154066,0.35002476,1.2148563,-1.4465301,0.85207075,1.1070735,0.96018904,-0.9824838,0.34624946,0.8741497,1.420904,1.7533122,0.79300016,1.9012195,1.5880215,2.248185,2.31201,1.038805,-0.8373324,-0.14887185,1.7981125,-1.2959299
2.165198,2.395764,3.0737507,0.6110737,1.5626459,-0.03594678,1.549134,-0.639283,0.93140477,1.9503946,1.0909727,-0.15244512,1.2798369,0.99288046,1.4651142,1.9983157,1.4398752,1.6320938,0.7598938,1.5976263,1.7796417,1.5676132,-0.3756268,-0.22715764,1.9792249,-1.65901
1.2110723,2.0560966,1.3752894,0.39263764,0.7656326,-0.47966814,0.78291094,0.57942367,0.40180966,1.8237147,0.6185215,1.0656133,1.9816409,0.85844976,0.86415964,1.1447079,1.4739166,0.8862844,-0.23299176,0.2261642,0.10134174,1.1393317,0.29341027,0.07050306,1.0378107,-0.058699552
-0.0020507032,1.6449862,0.3908408,0.4692332,0.043432437,-0.56453073,-0.28692892,-0.48212355,-0.23820005,0.47420913,-0.012933877,0.60494584,1.2187035,0.71912825,0.6169294,0.10614879,0.6769139,0.93891203,0.3254639,0.40999857,0.10293835,-0.1840724,-0.22908857,0.015357928,0.43670046,1.7965808
-1.3329494,1.0269533,-0.31746152,0.23517247,-0.7587519,-0.86689085,-0.74791324,-2.432216,-0.725633,-0.9993361,-0.55330914,-0.7605318,-0.5600393,-0.02099859,0.17334267,-0.8569098,-0.46631724,0.20155089,0.47074637,0.5423244,0.90646505,-1.3923981,-1.0038178,-0.9030685,0.18355197,1.2717925
-2.4548666,-0.44050276,-1.6322359,-0.5362287,-1.7997618,-1.4076759,-1.1292937,-2.1008139,-0.9570182,-1.3369386,-0.4923658,-0.90499806,-1.470592,-0.99222493,-0.820352,-1.3592573,-1.2436459,-1.3534956,-0.43271238,-0.62047905,0.032154553,-1.3518387,-0.4969024,-1.1994135,-0.3041148,-0.2903156
-2.5199146,-2.0578613,-2.2932003,-1.0529903,-2.219356,-1.3753699,-2.103246,0.20434712,-1.0043339,-0.94938797,-0.06081446,0.37064162,-0.57901955,-0.7788041,-0.9527461,-1.08578,-1.235494,-1.5048361,-0.6832549,-1.3169757,-1.7635503,-0.3908211,0.4896649,-0.008114844,-0.4262837,-0.10230927
-1.0032701,-1.6223171,-0.86811346,-0.40813804,-0.8462512,-0.46948886,-2.231796,1.6005816,-0.7975971,-0.79663765,-0.23403455,1.4772727,1.1562709,0.7599855,0.8075136,-0.38596958,-0.29699802,-0.114946805,-0.4806864,-0.13467012,-1.6585406,0.08746119,0.32825208,0.6934852,0.07416518,0.80686027
1.1800961,1.0306926,1.3203872,1.1196967,1.6569726,0.9090918,-0.36916995,1.2871985,-0.20666376,-0.6846738,-0.83323795,1.1549137,1.9372517,1.6313287,2.4438581,0.083268285,0.6661163,0.7745979,-0.94834447,1.444126,0.0740075,-0.3374836,-0.6437349,-0.2279569,-0.21475472,0.31182283
