Precentral_L,Precentral_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_L,Postcentral_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R
0.089843705,0.09857364,0.09286325,-0.03649449,0.09429758,0.11129368,0.037822396,-0.043759435,-0.036446303,-0.0071658036,-0.008085698,-0.041480616,-0.05350734,-0.08119818,-0.072061285,-0.05696848,-0.05688104,-0.009348201,0.036403406,-0.013678294,0.009706036,-0.02751676,-0.022938587,-0.034879472,0.006951043,-0.041775767
-2.0721931,-1.4104142,-1.6120222,0.8487018,-1.8184344,-1.3129066,-1.4338992,1.0342648,2.5297728,1.9217635,1.699165,1.3091979,1.5531144,2.0178697,2.184203,2.3585258,2.539899,1.6004168,1.3424773,1.1932263,1.331164,1.1007198,0.7860384,0.929513,1.6826938,1.0488127
-1.5916975,-1.372526,-1.2945523,1.8372376,-1.4275615,-1.0159938,-1.0400245,1.3207538,1.125228,1.459916,1.3625616,1.798215,1.5463544,2.0567272,1.8281487,1.6428235,1.5841856,1.2745754,0.7523784,1.0743339,0.58389586,1.2250146,1.1323509,1.1900095,0.37000152,1.3182522
-0.05587394,-0.5114921,-0.055449624,2.0483205,-0.09686189,-0.10160781,0.2727054,0.6765554,-0.9350751,0.46427247,0.51341915,0.9716947,0.38334408,0.7212805,0.18385552,-0.078457065,-0.3510187,0.81845236,-0.03319979,0.97415125,-0.024161378,1.192811,1.2651353,0.9396204,-1.2759802,0.692536
0.14925548,-0.13997796,0.17684424,1.0017724,0.106718875,-0.04563678,0.52533203,0.007867251,-0.3206241,0.50852615,0.50275946,-0.13306175,-0.27711275,-0.053826075,-0.25922757,-0.10304838,-0.1951969,1.0615883,0.2418256,1.1614122,0.6137811,1.1149304,0.9984304,0.5412886,-0.6125709,0.01748208
-0.23693998,-0.11338003,-0.20115374,-0.17275706,-0.20530716,-0.2034827,-0.099908,0.005979103,0.4323096,0.22797781,0.24904795,-0.1292222,0.0049338127,0.030291537,0.15717673,0.27128163,0.33394286,0.28682953,0.20755196,0.24005394,0.32035458,0.13614585,0.09121563,0.039429553,0.22589333,-0.07481032
0.14547682,0.07822153,0.035771556,-0.25535947,0.12107402,0.26938552,-0.11427647,0.07701668,-0.4982985,-0.3721835,-0.2292226,0.3477945,0.11631877,0.0012266376,-0.08551726,-0.3985717,-0.47267872,-0.6168134,-0.16477928,-0.53257483,-0.5603733,-0.5943164,-0.3125175,-0.16918747,-0.5379915,-0.062601835
0.48935285,0.054393586,0.38255855,0.4435335,0.38836747,0.6127566,0.39765504,-0.1695921,-0.7214409,0.2668749,0.3474478,0.026685461,-0.373786,-0.097325,-0.4149277,-0.6296586,-0.7858141,0.49134293,0.43345672,0.68232137,0.29084492,0.34902072,0.57094234,0.31403717,-1.0839912,-0.21518716
-0.13769756,-0.48256734,-0.15399905,1.0333402,-0.210861,-0.009817606,0.22698666,0.14280409,0.39527404,1.0292361,0.97887284,-0.22832872,-0.2883393,0.5313501,0.41700765,0.407221,0.34298232,1.5027438,0.7908877,1.5633416,1.2404426,1.3726422,1.2810727,0.71570337,-0.42971408,0.2903003
-0.9296352,-0.93203145,-0.92651975,1.1241738,-0.9216784,-1.0378737,-0.5959675,1.2761139,0.38498986,0.01128806,-0.015861392,0.5444322,0.6826202,1.1445105,1.3187606,0.8677985,0.8075386,-0.15268214,-0.66233706,-0.17473604,-0.30455476,0.6944766,0.5558841,0.06143411,-0.090440854,1.2343796
-0.7854172,-0.51784235,-0.6606788,0.22581774,-0.6912915,-1.3389808,-0.91153383,1.7183301,-0.89577967,-1.422015,-1.3757955,0.69706684,0.725677,0.09928023,0.3710211,-0.29861027,-0.41215467,-2.0269268,-1.9942552,-1.982306,-2.0860436,-0.6200382,-0.6587364,-0.91771805,-0.45307574,0.7855515
0.36465582,0.7934173,0.5937397,-1.7970655,0.4994443,-0.55429435,-0.107629105,0.30750528,-1.1834164,-1.3886087,-1.2297127,-0.8997039,-0.81355906,-1.9062822,-1.5898426,-1.5351863,-1.5366201,-1.470015,-1.15861,-1.379354,-1.2868259,-1.2520528,-1.2769914,-0.8848192,-0.3933122,-0.97466516
1.7818259,1.9902437,1.7111204,-3.3063567,1.8606987,0.57768446,1.3656234,-1.8986491,-0.3600453,-0.7319808,-0.3498335,-2.088238,-1.6917338,-2.3589299,-2.0854063,-1.5246712,-1.3795215,-0.25267673,0.3270401,-0.053153988,0.24284126,-1.3225034,-1.321968,-0.18583137,0.017496372,-1.5292324
2.3864067,1.8591338,1.8766478,-2.684952,2.3532224,1.0122263,2.4262996,-2.8821006,0.064361475,-0.43591392,-0.024537168,-1.2032661,-0.6371193,-1.035445,-1.0125077,-0.8735862,-0.8390794,-0.1140859,0.65634406,0.25566706,0.21681388,-0.8004991,-0.82202035,0.06839479,0.0800369,-0.4783917
1.6146828,0.5953339,1.1787463,-1.2179577,1.3670503,0.5878271,2.1036925,-1.9524945,0.13749354,-0.03540071,0.021027518,0.2324464,0.6079007,-0.052517254,-0.22834086,-0.2801784,-0.53266776,0.011238605,0.4202171,0.18010789,-0.17773218,0.1006381,-0.049912855,0.000605317,0.21091263,-0.05047359
0.17698717,-0.38321882,0.26626843,-0.9073759,-0.41777617,0.1303194,0.5099742,-0.27168152,0.2802269,0.11143148,-0.0931513,0.8815714,0.82909423,0.022183724,-0.07672669,0.30728775,-0.007173951,0.3397722,0.08695604,-0.016670616,0.16840097,0.16034605,0.09291429,0.105176605,0.56509924,-0.53896636
-0.72215986,-0.5135239,-0.32695553,-0.79249823,-1.3549802,0.29181468,-0.99632674,0.679133,-0.4654028,-0.8908459,-0.8667391,1.1407837,0.65813464,0.2516941,0.22334877,0.3626687,0.38336682,-0.37492415,-0.90730757,-0.757975,0.023812523,-0.7608512,-0.5105983,-0.10376316,0.021146126,-0.4576421
-0.6178933,-0.3939022,-0.4404368,0.70525265,-0.5811073,0.9186754,-1.0181416,0.8555236,-2.1679225,-2.008406,-1.6607094,0.5489656,-0.10627361,0.2871897,0.10779317,-0.84366316,-0.40120167,-1.5205085,-1.8719027,-1.2581213,-1.0492946,-1.2678572,-1.0124629,-0.9243551,-1.6502403,-0.40048754
0.18749256,-0.1444588,-0.05889045,1.931341,0.9725471,1.5005473,0.41251403,1.0415395,-2.801086,-1.5334698,-1.2700027,-1.3499178,-1.7876738,-0.78803617,-1.0135559,-2.2928336,-1.7378105,-1.2470933,-1.3386713,-0.56682104,-1.3559374,-0.8200274,-0.9009274,-1.3176181,-2.6719828,-1.4178841
0.94968283,0.49923876,0.5147929,0.7886791,1.6331676,1.4788731,1.6315444,0.8799634,-1.2844274,0.07241811,0.039476685,-2.2989116,-2.4049165,-1.7094139,-1.6287938,-1.9948431,-1.6599324,0.24186929,0.23386817,0.68466395,-0.047651626,0.014185272,-0.085162625,-0.36246854,-1.6956735,-1.7892748
0.7364807,0.85254043,0.45718008,-0.89935935,0.7444941,0.45069474,1.0289576,-0.20924881,0.7020946,1.0313903,0.98735183,-0.5594734,-0.62199354,-0.85523576,-0.4700297,-0.06990939,-0.02295424,1.1295363,0.9934732,1.2002347,1.2403948,0.89707565,1.0662448,0.9738228,0.17047587,-0.15031509
-0.48262984,0.17095427,-0.5198254,-0.18977994,-0.78234255,-1.1463869,-0.8584176,-0.9360563,1.2061204,0.8008102,1.0177829,1.331617,1.1701885,0.6442209,0.88365996,1.1673797,1.0600176,0.7414343,0.5214182,0.56215256,0.84368473,1.3273027,1.3370854,0.93713903,0.9686567,1.5061573
-1.4339374,-0.7276264,-1.2971456,1.911247,-1.6166558,-2.1130455,-1.8380108,-0.25205782,0.4470793,0.11715019,0.39526275,0.73979646,0.79372734,0.88181776,0.62856877,0.6869587,0.5822445,-0.13856788,-0.065396056,-0.6063983,-0.5455388,0.598676,0.18265864,-0.4088883,0.49604008,1.4096552
-1.3173888,-0.6218708,-0.8440885,2.3720515,-1.4889675,-1.8362421,-1.063281,0.36806908,-0.19325477,-0.45431808,-0.4495942,-0.69823503,-0.29983038,0.2746242,-0.29123524,-0.11113215,-0.120187685,-0.71610975,-0.28755376,-1.2559252,-1.2349409,-0.7324764,-1.0379256,-1.2713544,-0.08958924,0.56564766
-0.80629534,0.14454262,0.10864053,1.1311796,-1.0596144,-0.8890587,-0.0779725,0.14740992,-0.17419587,-0.6445449,-0.7898389,-0.78514767,-0.55614007,0.07856233,-0.34490868,-0.17698136,-0.103042305,-0.5956276,-0.3938283,-0.7630987,-0.88454485,-1.1408254,-0.9228968,-0.74935615,-0.31901473,0.011649922
-0.6020257,0.25910822,0.15085232,0.3695705,-0.78065944,-0.18029197,-0.28490403,0.79869694,0.33157885,-0.0036558295,0.033229306,-0.1287729,-0.4723696,0.39533907,0.2648555,0.17256221,0.17319806,0.2296454,-0.014843781,0.32858008,-0.1662055,-0.257327,0.2454216,0.43611908,-0.21974832,-0.20179687
-0.70205784,-0.7374894,-0.8716585,0.6376541,-0.77869403,-0.14370236,-1.1916668,2.2780116,1.250716,1.2588469,1.2844944,0.6300216,0.1275469,1.1266278,1.0700285,0.98907834,0.72605115,0.888629,0.9297996,0.72809976,0.4652316,0.7448787,1.2906915,1.4737519,0.6633084,0.49462727
-0.9101647,-1.7649634,-1.7532029,0.66110116,-0.93618715,-0.39420387,-1.6135387,1.9572587,2.0074003,1.7728453,1.3358244,1.5763085,1.4689316,1.8801513,1.7945534,2.1140916,1.6574222,0.43528613,1.2231283,0.035235636,0.67223233,0.8095122,1.2377447,1.8703659,1.9553066,1.6455157
-0.55987346,-1.2291334,-1.2454301,-0.3007189,-0.45600238,-0.07814463,-0.981494,-0.18476859,1.6352824,0.93371934,0.25585312,1.3682104,1.5023881,1.3096143,1.358759,1.9866292,1.7264227,-0.4292192,0.48711494,-0.6094783,0.42426592,0.07383672,0.029993432,1.1961962,2.0577066,1.0081258
0.78231156,0.5848453,0.34414026,-1.457597,0.95793664,0.6551442,0.35502577,-1.278567,0.5639781,0.14964592,-0.18114454,-0.35240307,-0.33540094,-0.37473664,-0.13669716,0.36189038,0.55213726,-0.24779588,0.18025428,-0.21332398,0.44088992,-0.5068957,-0.9728129,-0.061425388,0.92240155,-1.1619346
1.7518469,1.1971283,1.1126359,-1.4986253,1.7936597,0.5210806,1.1781701,-0.8639075,0.25538725,0.3917312,0.24218905,-0.9523524,-0.8297228,-0.78426784,-0.5343929,-0.39598235,-0.00020541639,0.5480735,0.5857909,0.49232993,0.8938586,-0.27878475,-0.6359115,-0.7418737,0.471615,-1.3518013
0.98575974,-0.1780995,0.25136375,-0.5136685,1.0026114,-0.43883598,0.72167474,-0.92475504,0.5565537,0.3217873,-0.23656604,0.38884038,0.9266373,0.28181812,0.4380842,0.47249433,0.6944087,0.18112269,-0.05448792,0.15000007,0.5392355,0.15009345,-0.14650057,-0.86788476,1.0113149,0.8539001
-0.25065818,-0.9317371,-0.5135945,-0.09747199,0.044918578,-0.4282837,-0.13876054,-1.4514253,0.109538645,-0.98225147,-1.7401878,0.7693717,1.3166689,0.23360707,0.3687003,0.668521,0.74906695,-1.2962661,-1.8002536,-1.082194,-1.0429378,-0.33994585,-1.0309659,-1.3956276,0.7957264,1.4151121
-0.27608168,0.37243614,0.1538369,-0.7380394,0.19705196,0.89497185,-0.3633474,-0.9657923,-0.70896655,-1.7068648,-1.9867722,-0.7071662,-0.7167571,-1.1869326,-1.0217918,-0.5138786,-0.29375026,-1.7266752,-2.062568,-1.4731097,-1.8514919,-1.2751403,-1.9367956,-2.0318236,-0.26718873,-0.9504814
0.24145576,1.534407,1.0963845,-0.9637424,0.4961044,1.7185118,-0.2251784,0.0858252,-0.4776129,-0.30089083,-0.1401842,-1.4554541,-1.7681146,-1.5498838,-1.3959589,-1.0198461,-0.7091536,-0.07801526,0.07731474,0.0045318566,-0.3343209,-0.8823615,-0.7417724,-1.5280186,-0.5149991,-2.4771154
0.28140208,1.0430791,1.0898176,-0.10865502,0.2358189,1.3456166,-0.114727266,0.4543102,0.21078965,1.444893,1.5930287,-0.68508065,-0.7252141,-0.6056212,-0.5019134,-0.4030372,-0.35149655,1.8573551,1.9570969,1.8821225,1.6831722,0.7232152,1.3326461,-0.04207988,-0.046087626,-0.995799
0.35099062,0.39771885,0.6749006,0.468617,0.2524161,0.98539245,0.2705745,0.3794091,-0.19813304,1.0986246,1.2647182,-0.07477079,-0.03296029,-0.19849733,-0.18154693,-0.27904332,-0.508892,1.822027,1.2628558,1.8407596,1.5343158,1.2286227,1.5385267,0.91332126,-0.26446798,0.98629916
0.7843032,0.60573703,0.56945,-0.15648949,0.8211528,1.1393578,0.8757684,0.15565433,-1.0548626,-0.5128172,-0.1755315,0.101697974,-0.23019381,-0.3340247,-0.44029737,-0.5570948,-0.67982054,0.23844968,-0.6419953,0.23977381,-0.077566564,0.16755989,0.30133492,0.8218541,-0.728176,1.1201465
0.9147743,0.63617474,0.6068194,-0.9504612,1.1847906,1.0650418,1.0964043,-0.54228264,-0.75671977,-0.8571409,-0.57011646,0.45786494,0.1591026,0.11768019,0.00034380422,0.03188665,0.10704115,-0.44616193,-0.95049685,-0.2298342,-0.37125018,-0.10354457,0.18362811,0.6505909,-0.29783595,0.2436165
0.50426656,0.016980117,0.46104735,-0.6473794,1.0420369,0.4951534,0.6490324,-0.8325019,0.13743746,0.23356122,0.37550727,0.29525396,0.62472683,0.5973045,0.6751426,0.75026715,0.62396,0.43704858,0.48428693,0.9393933,0.87331635,1.1809587,1.2858238,0.97062063,0.23698875,-0.21485043
0.050531782,-0.41431957,0.039820123,0.4708302,0.5651529,-0.14017642,-0.15878642,0.15695475,0.1959628,0.7569348,0.9447884,-0.36603278,0.10278552,0.314336,0.49727675,0.3890271,-0.056907665,0.8336564,1.2545737,1.1752635,1.2775173,1.7481793,1.5001811,1.2468941,0.074565224,-0.10959557
-0.23766199,-0.3856447,-0.4877659,1.3349342,-0.23342793,-0.5365535,-0.6805005,0.89225197,-0.11799899,0.050603732,0.2056179,0.15349051,0.0038792943,0.2661803,0.21587005,-0.003986481,-0.32946214,-0.31531715,0.26628104,-0.50305945,0.059743177,0.44094425,0.31992155,1.0462279,0.24890003,0.33552843
-0.6359188,-0.4897284,-0.7660707,1.5998405,-1.1510522,-0.52859545,-0.65349543,0.17863427,0.18291168,-0.5172015,-0.6344746,1.6409299,1.2860135,1.031838,0.813834,0.51973534,0.52631825,-1.2020237,-0.7875397,-1.7894334,-1.0040468,-1.1434745,-0.96052974,0.47449803,0.8707528,0.7009941
-1.1061088,-0.7207031,-0.7372596,1.3056902,-1.6062787,-0.12575641,-0.6778456,-0.1967657,0.38495713,-0.24038225,-0.47366893,1.5483919,1.7717825,1.1023904,1.1677439,0.52711964,0.5124414,-0.4909948,-0.43040168,-1.2520158,-0.7674888,-1.6717539,-1.6116672,-0.30241656,0.2742654,0.28382093
-0.999015,-0.2952384,-0.5391013,0.15981385,-1.2196116,0.19902803,-1.0049322,0.7160184,-0.28580102,-0.04174016,-0.03898568,-0.35387474,0.12662858,-0.28341624,0.036344845,-0.78884614,-0.99731714,0.3739958,0.41792035,-0.37267247,-0.11554555,-1.3060234,-1.492046,-0.8173701,-1.258074,-0.5542625
-0.113083325,0.79678774,-0.033872876,-1.4046065,-0.3719572,0.027222574,-0.73264724,0.66589606,-0.78326106,-0.36319923,-0.10179469,-1.2936531,-1.3258004,-1.3602947,-1.2948123,-1.5908846,-1.6121035,-0.013002394,0.4688842,-0.3662227,0.00019706489,-0.35197434,-0.40909743,-0.48431703,-1.3002607,-0.5200293
0.6070942,1.2905729,0.6683632,-1.938022,0.0846671,-0.45368972,0.4151265,-1.0995992,-0.04369443,-0.2104461,0.0258394,-0.3522637,-0.7463524,-0.85641485,-1.0437942,-0.61457205,-0.24650529,-0.53069997,0.25595903,-0.29494613,-0.048388824,0.7942868,0.9351375,0.302057,0.34124964,0.28329682
0.5039226,0.50925887,0.92384803,-1.066213,-0.010461969,-0.92952347,1.2247409,-1.8264519,1.0677892,0.81065875,0.81346816,0.3840541,0.33405557,-0.01541288,0.063953646,0.7401665,1.0004152,0.16239114,0.7259502,0.5879648,0.35927838,1.3285645,1.2851324,0.5115443,1.310297,0.36299983
0.32849443,-0.4027152,0.605924,-0.048895173,0.111603186,-1.3066356,1.1271539,-0.5133784,1.0875361,1.3159628,1.241813,-0.070379466,0.346314,-0.09186325,0.2649197,0.8281864,0.49623922,1.0504831,1.2476034,1.2541852,0.83376783,1.0265907,0.70245683,-0.050047427,0.6350374,-0.48918954
0.69816595,-0.2478933,0.3796959,0.31631413,0.6468111,-1.2794298,0.986592,0.18660094,0.03147744,0.40961748,0.6295149,-0.43137753,-0.07299885,-0.516764,-0.424422,-0.21214455,-0.76341826,0.7208929,0.8490355,0.89016765,0.69268084,0.49929678,0.2990088,-0.7163612,-0.54764605,-0.9029006
0.96452975,0.42764053,0.5763239,0.30578858,0.7573775,-0.54758745,1.1718783,-0.8035884,-0.84563476,-0.57570326,-0.047830064,-0.2205225,-0.30056688,-0.56117296,-0.82787144,-1.2410557,-1.3035665,-0.05370149,0.06903911,0.37629047,0.16206408,0.13094485,0.3257061,-0.9118867,-1.3827254,-0.4359998
0.7345101,0.5421637,0.92441547,0.10502451,0.30334184,0.36977413,1.2015748,-1.0736815,-0.8860064,-0.44013658,-0.055218693,-0.4403238,-0.71942294,-0.53575253,-0.6716657,-1.5048966,-1.1353413,-0.068448156,-0.28247303,0.423909,-0.29245132,-0.30101705,0.0374639,-0.57657284,-1.8215146,-0.20606849
0.6336865,0.20008446,1.1257793,-0.16391996,0.27227202,0.64895284,1.081585,0.45413527,-0.7658954,-0.19468679,-0.20723154,-1.1010867,-1.1735387,-0.7572176,-0.61677235,-1.2823694,-1.0442034,0.06416434,-0.57524693,0.28335905,-0.8037401,-0.89817053,-0.8244074,-0.119927414,-1.6958575,-0.7535891
0.6843636,-0.06350679,0.71634257,-0.15808299,0.76420754,0.36966276,0.8087518,1.453343,-1.0582342,-0.74552816,-0.94803774,-1.0240661,-1.0092168,-0.85595995,-0.89476824,-1.1899686,-1.0634558,-0.3924906,-0.97351974,-0.41657403,-1.1351323,-1.2055867,-1.4437151,0.124930345,-0.90138835,-1.0505731
-0.051965233,-0.46545473,-0.70376205,-0.03155395,0.5303366,0.09458418,-0.3459108,0.4979213,-1.1066353,-1.0961641,-1.3104571,-0.2226147,-0.43521312,-0.44489783,-0.8391793,-0.9170237,-0.49449968,-0.800498,-0.8310148,-0.87068063,-0.7071995,-0.92349184,-1.0976645,0.2527412,0.04077382,-0.31425518
-1.4302986,-1.0361168,-2.2751355,-0.2058696,-0.64925045,-0.100787476,-2.180028,-0.37068668,-0.36715326,-0.644357,-0.8460808,-0.011270225,-0.25452995,0.19033517,-0.07239222,0.06044062,0.57099694,-0.81185305,-0.3979189,-0.92001003,-0.2397089,-0.622397,-0.36154073,0.16635579,0.39346954,0.5540454
-1.8071095,-0.8591761,-2.3819745,-0.34700525,-1.1586354,-0.084196545,-2.9907634,0.6801848,0.41495064,-0.26970643,-0.31697643,-0.47535655,-0.5440199,0.4719365,0.5994639,1.046336,1.0785277,-0.8592436,-0.499584,-1.0964508,-0.67253494,-0.77376264,-0.1431895,-0.3033011,0.16574574,0.48229071
-0.6780791,0.14395116,-1.0880709,0.15050882,-0.2644044,0.54124695,-2.0922523,2.0106015,0.56964713,-0.18927875,-0.09836589,-0.119019374,-0.42099077,0.56400216,0.596331,1.3273511,0.9302876,-0.69647026,-0.7256189,-0.9595544,-0.90293694,-0.62855613,-0.03691704,-0.39049137,0.24487767,0.0636238
